age,workclass,education-num,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income_50k
47,Private,9,Prof-specialty,Other,Female,0,0,40,0
27,?,14,?,Asian-Pac-Islander,Male,0,0,20,0
39,Private,10,Sales,Asian-Pac-Islander,Female,0,0,38,0
40,Private,9,Exec-managerial,White,Female,0,0,40,0
39,Private,9,Exec-managerial,White,Female,0,0,40,0
41,Private,13,Exec-managerial,White,Male,0,0,20,0
36,Private,9,Craft-repair,Amer-Indian-Eskimo,Male,0,0,48,0
24,Private,13,Prof-specialty,Asian-Pac-Islander,Male,0,0,16,0
54,Private,10,Sales,White,Male,0,0,40,0
23,Private,6,Machine-op-inspct,Asian-Pac-Islander,Female,0,0,40,0
32,Local-gov,9,Protective-serv,White,Male,0,0,40,0
21,Private,10,Other-service,White,Female,0,0,35,0
30,Private,13,Exec-managerial,White,Female,0,0,55,0
44,Private,9,Sales,White,Female,0,0,15,0
29,Private,9,Sales,White,Male,0,0,60,0
48,Private,9,Handlers-cleaners,Asian-Pac-Islander,Female,0,0,40,0
50,Private,9,Craft-repair,White,Male,0,0,2,0
25,State-gov,10,Craft-repair,White,Male,0,0,20,0
28,Private,9,Machine-op-inspct,White,Female,0,0,40,0
33,Self-emp-not-inc,11,Other-service,White,Female,0,0,99,0
29,Private,11,Other-service,White,Male,0,0,40,0
50,Private,9,Machine-op-inspct,White,Female,0,0,40,0
58,Private,9,Priv-house-serv,White,Male,0,1719,40,0
47,Private,9,Craft-repair,White,Male,0,0,52,0
27,Private,10,Adm-clerical,White,Female,0,0,39,0
55,Self-emp-not-inc,10,Exec-managerial,Black,Male,0,0,25,0
36,Private,6,Transport-moving,White,Male,0,0,80,0
21,Private,10,Adm-clerical,White,Female,0,0,20,0
21,Private,6,Other-service,White,Female,0,0,35,0
46,State-gov,10,Exec-managerial,White,Female,0,0,40,0
59,Private,9,Machine-op-inspct,White,Male,0,0,40,0
40,State-gov,14,Craft-repair,White,Male,0,0,80,0
28,Private,9,Handlers-cleaners,White,Male,0,0,40,0
24,Private,10,Machine-op-inspct,White,Male,0,2339,43,0
24,Private,10,Adm-clerical,Black,Female,0,0,40,0
36,Local-gov,9,Adm-clerical,Black,Female,0,0,40,0
51,Federal-gov,9,Tech-support,White,Male,0,0,40,0
21,Private,9,Other-service,White,Male,0,0,35,0
18,Private,9,Handlers-cleaners,White,Female,0,0,25,0
25,Local-gov,13,Prof-specialty,White,Female,0,0,35,0
24,State-gov,14,Prof-specialty,Black,Female,0,0,40,0
39,Private,10,Sales,White,Female,0,0,40,0
62,?,10,?,White,Female,0,0,1,0
19,Private,9,Farming-fishing,White,Male,0,0,20,0
35,Private,6,Handlers-cleaners,White,Female,0,0,60,0
43,Self-emp-not-inc,10,Farming-fishing,White,Male,0,0,50,0
29,Self-emp-not-inc,9,Other-service,White,Female,0,0,30,0
30,Private,13,Other-service,White,Male,0,0,40,0
55,Local-gov,15,Prof-specialty,White,Female,0,0,39,0
33,Private,11,Craft-repair,White,Male,0,0,60,0
24,Private,13,Tech-support,White,Female,0,0,40,0
46,Private,13,Craft-repair,White,Female,0,0,40,0
58,State-gov,5,Farming-fishing,White,Male,0,0,40,0
19,Private,7,Other-service,White,Male,0,0,20,0
42,Local-gov,9,Other-service,Black,Female,0,0,60,0
31,Private,13,Tech-support,White,Female,0,0,40,0
22,Private,9,Sales,White,Male,0,0,40,0
36,Private,5,Sales,White,Female,0,0,40,0
22,Private,9,Other-service,Black,Female,0,0,15,0
30,Private,9,Prof-specialty,White,Male,0,0,50,0
46,Private,10,Machine-op-inspct,White,Female,0,0,52,0
52,Private,4,Machine-op-inspct,White,Male,0,0,40,0
22,Private,9,Other-service,White,Female,0,0,20,0
57,Private,9,Sales,Amer-Indian-Eskimo,Female,0,0,35,0
20,Private,10,Machine-op-inspct,White,Female,0,0,40,0
52,Private,9,Machine-op-inspct,White,Male,0,0,40,0
33,Private,7,Other-service,Black,Male,0,0,40,0
33,Private,9,Craft-repair,Amer-Indian-Eskimo,Male,0,0,35,0
