age,workclass,education-num,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income_50k
24,Private,9,Handlers-cleaners,White,Male,0,0,40,0
44,State-gov,15,Prof-specialty,White,Male,15024,0,75,1
27,State-gov,14,Prof-specialty,White,Male,0,0,40,0
76,Private,13,Adm-clerical,White,Male,5556,0,13,1
34,Private,9,Craft-repair,Black,Male,0,0,40,0
32,Private,9,Machine-op-inspct,White,Male,0,0,40,0
42,Private,9,Craft-repair,White,Male,0,0,40,1
46,Private,10,Craft-repair,Asian-Pac-Islander,Male,0,0,40,0
42,Private,13,Other-service,White,Male,0,0,40,0
38,Private,10,Adm-clerical,White,Male,0,0,40,0
23,Private,10,Prof-specialty,White,Male,0,0,52,0
45,Self-emp-inc,9,Sales,White,Male,0,0,32,1
24,Private,9,Machine-op-inspct,White,Male,0,0,40,0
22,Private,7,Craft-repair,White,Male,0,0,35,0
53,Private,9,Craft-repair,White,Male,7298,0,40,1
55,Private,9,Adm-clerical,White,Female,0,0,18,0
36,Private,10,Prof-specialty,Asian-Pac-Islander,Female,0,0,40,1
35,Private,10,Machine-op-inspct,White,Male,0,0,46,0
43,Federal-gov,13,Exec-managerial,White,Male,0,0,40,1
19,Private,9,Handlers-cleaners,White,Male,0,0,25,0
37,Private,7,Craft-repair,White,Male,0,0,40,0
58,Self-emp-inc,13,Prof-specialty,White,Male,0,0,40,0
27,Private,13,Exec-managerial,White,Male,0,0,45,0
29,Private,13,Exec-managerial,White,Male,0,0,50,1
49,Private,7,Transport-moving,White,Male,0,0,40,0
46,Private,9,Sales,White,Female,0,0,40,0
53,State-gov,10,Handlers-cleaners,White,Male,0,0,40,0
41,State-gov,11,Prof-specialty,White,Male,0,0,35,1
48,Private,9,Sales,White,Male,0,0,40,0
33,State-gov,10,Tech-support,White,Male,0,0,12,0
46,Self-emp-not-inc,13,Other-service,Asian-Pac-Islander,Female,0,0,60,1
58,Private,13,Adm-clerical,White,Male,3325,0,40,0
34,Private,9,Craft-repair,White,Male,0,0,40,0
55,Self-emp-not-inc,9,Farming-fishing,White,Male,0,0,60,0
19,Private,10,Sales,White,Female,0,0,25,0
17,Private,7,Sales,White,Female,0,0,15,0
28,State-gov,15,Prof-specialty,White,Male,0,0,90,0
18,Private,9,Sales,White,Female,0,0,24,0
45,Private,8,Adm-clerical,White,Male,0,0,35,1
31,Private,13,Sales,Asian-Pac-Islander,Male,0,0,40,0
41,Private,9,Machine-op-inspct,Black,Male,0,0,50,0
45,Private,9,Craft-repair,White,Male,0,0,40,0
26,Private,14,Prof-specialty,Asian-Pac-Islander,Male,0,0,20,0
21,Private,10,Handlers-cleaners,White,Male,0,0,22,0
28,Private,12,Machine-op-inspct,White,Male,0,0,40,0
24,Private,13,Machine-op-inspct,White,Male,0,0,40,0
41,Private,10,Adm-clerical,White,Female,0,0,40,0
49,Private,4,Machine-op-inspct,White,Female,0,0,40,0
36,Private,14,Sales,White,Male,0,1977,50,1
23,Private,10,Other-service,White,Female,0,0,20,0
27,Private,13,Adm-clerical,White,Female,0,0,40,0
38,Self-emp-inc,13,Sales,White,Male,7688,0,40,1
53,Private,9,Machine-op-inspct,White,Female,0,0,40,0
53,Federal-gov,9,Exec-managerial,White,Female,0,0,58,0
30,Private,13,Tech-support,White,Male,0,0,60,0
34,Local-gov,10,Craft-repair,White,Male,0,0,40,0
32,Self-emp-not-inc,9,Other-service,White,Male,0,0,60,0
57,Federal-gov,9,Adm-clerical,White,Female,0,0,40,0
46,Private,9,Machine-op-inspct,Black,Male,0,0,40,0
51,Private,10,Tech-support,White,Female,0,0,40,1
53,Private,11,Craft-repair,White,Male,0,0,40,1
39,Federal-gov,9,Adm-clerical,White,Male,0,0,40,0
24,Private,9,Sales,White,Male,0,0,40,0
51,Private,14,Protective-serv,White,Male,0,1977,40,1
23,Local-gov,9,Prof-specialty,White,Female,0,0,40,0
21,Private,9,Sales,White,Female,0,0,48,0
21,Private,9,Other-service,White,Female,0,0,40,0
51,Private,13,Exec-managerial,White,Male,0,0,45,1
27,Private,12,Exec-managerial,White,Male,0,0,40,0
41,Federal-gov,12,Protective-serv,White,Male,0,0,92,0
28,Private,9,Machine-op-inspct,White,Male,0,0,40,0
37,Private,9,Craft-repair,White,Male,3103,0,45,1
